domain,topic_slug,topic_title,learning_unit_id,learning_unit_title,objective,track,depth,prerequisites,resource_role,provider,resource_title,resource_type,url,exactness,boundary_type,start_timestamp,end_timestamp,video_duration,section_start,section_end,estimated_minutes,estimate_confidence,verification_status,concepts_covered,practice_type,practice_quantity,practice_destination,practice_url,practice_minutes,project,revision_summary
CS Foundations,cf-bits-and-bytes,Bits and bytes,cf-bits-and-bytes-core,Bits and bytes,Explain how information is measured in bits and bytes.,CORE,WORKING_KNOWLEDGE,,PRIMARY,CS50,CS50x 2026 — Lecture 0 (Scratch),youtube_video,https://www.youtube.com/watch?v=UuIEbpQms8o,MULTI_TOPIC,VIDEO_TIMESTAMP,00:00:00,00:20:00,20,00:00:00,00:20:00,20,HIGH,VERIFIED_COVERAGE,bit;byte;encoding,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-binary,Binary,cf-binary-core,Binary,Read and convert small binary values.,CORE,WORKING_KNOWLEDGE,cf-bits-and-bytes,PRIMARY,CS50,CS50x 2026 — Lecture 0 (Scratch),youtube_video,https://www.youtube.com/watch?v=UuIEbpQms8o,MULTI_TOPIC,VIDEO_TIMESTAMP,00:00:00,00:22:00,22,00:00:00,00:22:00,22,HIGH,VERIFIED_COVERAGE,binary-representation;binary-decimal-conversion;place-value,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-hexadecimal,Hexadecimal,cf-hexadecimal-core,Hexadecimal,Use hexadecimal as a compact view of binary.,CORE,WORKING_KNOWLEDGE,cf-binary,PRIMARY,CS50,CS50x 2026 — Lecture 0 (Scratch),youtube_video,https://www.youtube.com/watch?v=UuIEbpQms8o,MULTI_TOPIC,VIDEO_TIMESTAMP,00:00:00,00:20:00,20,00:00:00,00:20:00,20,HIGH,VERIFIED_COVERAGE,hex-representation;hex-binary-grouping;hex-why,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-cpu,CPU,cf-cpu-core,CPU,Describe what a CPU does in executing programs.,CORE,WORKING_KNOWLEDGE,cf-hexadecimal,PRIMARY,GeeksforGeeks,GFG — Central Processing Unit (CPU),documentation,https://www.geeksforgeeks.org/central-processing-unit-cpu/,EXACT,ARTICLE_SECTION,,,18,central-processing-unit-cpu,central-processing-unit-cpu,18,MEDIUM,VERIFIED_COVERAGE,cpu-role;alu;registers;program-counter;fetch-decode-execute;ram-interaction,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-alu,ALU,cf-alu-core,ALU,Explain the ALU's role in arithmetic and logic.,CORE,WORKING_KNOWLEDGE,cf-cpu,PRIMARY,GeeksforGeeks,GFG — Introduction of ALU and Data Path,documentation,https://www.geeksforgeeks.org/computer-organization-architecture/introduction-of-alu-and-data-path/,EXACT,ARTICLE_SECTION,,,18,ALU; Arithmetic and logical operations,ALU; Arithmetic and logical operations,18,MEDIUM,VERIFIED_COVERAGE,alu-role;alu-ops;expression-to-alu,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-registers,Registers,cf-registers-core,Registers,Explain registers as the CPU's fastest working storage.,CORE,WORKING_KNOWLEDGE,cf-alu,PRIMARY,GeeksforGeeks,GFG — Different Classes of CPU Registers,documentation,https://www.geeksforgeeks.org/computer-organization-architecture/different-classes-of-cpu-registers/,EXACT,ARTICLE_SECTION,,,18,General purpose; Special purpose registers,General purpose; Special purpose registers,18,MEDIUM,VERIFIED_COVERAGE,registers-role;registers-count;registers-usage,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-ram,RAM,cf-ram-core,RAM,Explain RAM as volatile working memory.,CORE,WORKING_KNOWLEDGE,cf-registers,PRIMARY,GeeksforGeeks,GFG — Random Access Memory (RAM),documentation,https://www.geeksforgeeks.org/random-access-memory-ram/,EXACT,ARTICLE_SECTION,,,18,random-access-memory-ram,random-access-memory-ram,18,MEDIUM,VERIFIED_COVERAGE,ram-volatile;ram-holds;ram-vs-registers-disk,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-cache,Cache,cf-cache-core,Cache,Explain why caches exist between CPU and RAM.,CORE,WORKING_KNOWLEDGE,cf-ram,PRIMARY,GeeksforGeeks,GFG — Cache Memory in Computer Organization,documentation,https://www.geeksforgeeks.org/cache-memory-in-computer-organization/,EXACT,ARTICLE_SECTION,,,18,cache-memory-in-computer-organization,cache-memory-in-computer-organization,18,MEDIUM,VERIFIED_COVERAGE,cache-role;cache-locality,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-storage,Storage,cf-storage-core,Storage,Contrast persistent storage with RAM.,CORE,WORKING_KNOWLEDGE,cf-cache,PRIMARY,GeeksforGeeks,GFG — Storage Devices (persistent storage),documentation,https://www.geeksforgeeks.org/storage-devices/,EXACT,ARTICLE_SECTION,,,18,storage-devices,storage-devices,18,MEDIUM,VERIFIED_COVERAGE,storage-persistent;storage-types;storage-files,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-instruction-execution,Instruction execution,cf-instruction-execution-core,Instruction execution,Describe fetch-decode-execute at a conceptual level.,CORE,WORKING_KNOWLEDGE,cf-storage,PRIMARY,GeeksforGeeks,GFG — Different Instruction Cycles,documentation,https://www.geeksforgeeks.org/computer-organization-architecture/different-instruction-cycles/,EXACT,ARTICLE_SECTION,,,18,"Fetch, decode, execute cycles","Fetch, decode, execute cycles",18,MEDIUM,VERIFIED_COVERAGE,fetch-decode-execute-loop;assignment-to-instructions;pc-increment,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-machine-code,Machine code,cf-machine-code-core,Machine code,Explain machine code as the CPU's native language.,CORE,WORKING_KNOWLEDGE,cf-instruction-execution,PRIMARY,GeeksforGeeks,GFG — Machine Language,documentation,https://www.geeksforgeeks.org/machine-language-in-computer-organization/,EXACT,ARTICLE_SECTION,,,18,machine-language-in-computer-organization,machine-language-in-computer-organization,18,MEDIUM,VERIFIED_COVERAGE,machine-code-binary;machine-code-arch;source-to-machine,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-compiler,Compiler,cf-compiler-core,Compiler,Explain what a compiler produces and when it runs.,CORE,WORKING_KNOWLEDGE,cf-machine-code,PRIMARY,GeeksforGeeks,GFG — Introduction of Compiler Design,documentation,https://www.geeksforgeeks.org/introduction-of-compiler-design/,EXACT,ARTICLE_SECTION,,,18,introduction-of-compiler-design,introduction-of-compiler-design,18,MEDIUM,VERIFIED_COVERAGE,compiler-translate;compile-vs-run;compiler-tool,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-interpreter,Interpreter,cf-interpreter-core,Interpreter,Explain how an interpreter executes source or bytecode.,CORE,WORKING_KNOWLEDGE,cf-compiler,PRIMARY,GeeksforGeeks,GFG — Interpreter in Compiler Design,documentation,https://www.geeksforgeeks.org/interpreter-in-compiler-design/,EXACT,ARTICLE_SECTION,,,18,interpreter-in-compiler-design,interpreter-in-compiler-design,18,MEDIUM,VERIFIED_COVERAGE,interpreter-incremental;interpreter-vs-compiler;interpreter-vm,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-program,Program,cf-program-core,Program,Define a program as stored instructions plus data.,CORE,WORKING_KNOWLEDGE,cf-interpreter,PRIMARY,GeeksforGeeks,GFG — Program and its Types in Operating System,documentation,https://www.geeksforgeeks.org/program-and-its-types-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,program-and-its-types-in-operating-system,program-and-its-types-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,program-artifact;program-vs-process,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-process,Process,cf-process-core,Process,Define a process as a running instance of a program.,CORE,WORKING_KNOWLEDGE,cf-program,PRIMARY,GeeksforGeeks,GFG — Process in Operating System,documentation,https://www.geeksforgeeks.org/process-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,process-in-operating-system,process-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,process-running;process-memory-pid;process-many,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-kernel,Kernel,cf-kernel-core,Kernel,Explain the kernel as the core of the operating system.,CORE,WORKING_KNOWLEDGE,cf-process,PRIMARY,GeeksforGeeks,GFG — Kernel in Operating System,documentation,https://www.geeksforgeeks.org/kernel-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,kernel-in-operating-system,kernel-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,kernel-privileged;kernel-services,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-os-processes,Processes,cf-os-processes-core,Processes,Describe how the OS manages processes.,CORE,WORKING_KNOWLEDGE,cf-kernel,PRIMARY,GeeksforGeeks,GFG — Process Management in Operating System,documentation,https://www.geeksforgeeks.org/process-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,process-in-operating-system,process-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,os-creates;os-identity,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-threads,Threads,cf-threads-core,Threads,Contrast threads with processes.,CORE,WORKING_KNOWLEDGE,cf-os-processes,PRIMARY,GeeksforGeeks,GFG — Threads in Operating System,documentation,https://www.geeksforgeeks.org/thread-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,thread-in-operating-system,thread-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,threads-inside-process;threads-share-memory,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-system-calls,System calls,cf-system-calls-core,System calls,Explain system calls as the program–kernel interface.,CORE,WORKING_KNOWLEDGE,cf-threads,PRIMARY,GeeksforGeeks,GFG — System Calls in Operating System,documentation,https://www.geeksforgeeks.org/system-calls-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,system-calls-in-operating-system,system-calls-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,syscall-privileged;syscall-examples,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-os-memory,Memory,cf-os-memory-core,Memory,Explain that the OS manages process memory.,CORE,WORKING_KNOWLEDGE,cf-system-calls,PRIMARY,GeeksforGeeks,GFG — Memory Management in Operating System,documentation,https://www.geeksforgeeks.org/memory-management-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,memory-management-in-operating-system,memory-management-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,address-space;os-pages-protect,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-virtual-memory-basics,Virtual memory basics,cf-virtual-memory-basics-core,Virtual memory basics,Explain virtual vs physical addresses at a high level.,CORE,WORKING_KNOWLEDGE,cf-os-memory,PRIMARY,OSTEP,OSTEP — Address Spaces (virtual memory intro),documentation,https://pages.cs.wisc.edu/~remzi/OSTEP/vm-intro.pdf,EXACT,ARTICLE_SECTION,,,18,Address spaces; virtualization,Address spaces; virtualization,18,MEDIUM,VERIFIED_COVERAGE,virtual-address-space;virtual-to-physical,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-filesystems,Filesystems,cf-filesystems-core,Filesystems,Explain files and directories as OS abstractions.,CORE,WORKING_KNOWLEDGE,cf-virtual-memory-basics,PRIMARY,GeeksforGeeks,GFG — File System in Operating System,documentation,https://www.geeksforgeeks.org/file-system-in-operating-system/,EXACT,ARTICLE_SECTION,,,18,file-system-in-operating-system,file-system-in-operating-system,18,MEDIUM,VERIFIED_COVERAGE,filesystem-files-dirs;filesystem-paths;filesystem-kernel,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-os-permissions,Permissions,cf-os-permissions-core,Permissions,Explain user/group/other permission bits conceptually.,CORE,WORKING_KNOWLEDGE,cf-filesystems,PRIMARY,GeeksforGeeks,GFG — File Permissions in Linux,documentation,https://www.geeksforgeeks.org/file-permissions-in-linux/,EXACT,ARTICLE_SECTION,,,18,file-permissions-in-linux,file-permissions-in-linux,18,MEDIUM,VERIFIED_COVERAGE,unix-permission-bits;kernel-enforces,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-os-environment-variables,Environment variables,cf-os-environment-variables-core,Environment variables,Explain environment variables as process configuration.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-os-permissions,PRIMARY,MIT,The Shell — MIT Missing Semester,article,https://missing.csail.mit.edu/2020/command-line/,EXACT,ARTICLE_SECTION,,,18,Shell / environment variables,Shell / environment variables,18,MEDIUM,VERIFIED_COVERAGE,env-key-value;env-inherited,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-shell,Shell,cf-shell-core,Shell,Explain the shell as a command interpreter.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-os-environment-variables,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester — Introduction to the Shell,documentation,https://missing.csail.mit.edu/2020/shell-tools/,EXACT,ARTICLE_SECTION,,,30,Shell tools and scripting,Shell tools and scripting,30,MEDIUM,VERIFIED_COVERAGE,shell-reads-commands;shell-bash-zsh,SELF_REFLECTION,3,,,6,CLI Calculator;File Organizer,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-command-line,Command line,cf-command-line-core,Command line,Issue basic commands with arguments.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-shell,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,command-structure;command-quoting-exit,SELF_REFLECTION,3,,,6,CLI Calculator;Simple REST API,1d→3d→7d→14d→30d adaptive
